1,1,471;472;474;475;494;502,Ground fault,I_EVENT_GROUND_FAULT,
2,2,309;313,DC over voltage,I_EVENT_DC_OVER_VOLT,
4,4,107;117;127;137,AC disconnect open,I_EVENT_AC_DISCONNECT,
8,8,,DC disconnect open,I_EVENT_DC_DISCONNECT,
10,16,,Grid shutdown,I_EVENT_GRID_DISCONNECT,
20,32,,Cabinet open,I_EVENT_CABINET_OPEN,
40,64,,Manual shutdown,I_EVENT_MANUAL_SHUTDOWN,
80,128,303;304;531,Over temperature,I_EVENT_OVER_TEMP,
100,256,104;105;115;125;135;203;204,Frequency above limit,I_EVENT_OVER_FREQUENCY,
200,512,104;106;116;126;136;203;204,Frequency under limit,I_EVENT_UNDER_FREQUENCY,
400,1024,101;102;112;122;132;201;202,AC voltage above limit,I_EVENT_AC_OVER_VOLT,
800,2048,101;103;113;123;133;201;202,AC voltage under limit,I_EVENT_AC_UNDER_VOLT,
1000,4096,550;551,Blown string fuse,I_EVENT_BLOWN_STRING_FUSE,
2000,8192,,Under temperature,I_EVENT_UNDER_TEMP,
4000,16384,401;402;403;404;405;414;416;417;419;421;425;431;451;452;453;454;460;461;464;465;466;467;476;477;490;491;504;505;506;507;508;510;511;514;516;517;519;541;553;558;711;712;713;714;715;716;721;722;723;724;725;726;727;728;729;730;799,Generic Memory or Communication error (internal),I_EVENT_MEMORY_LOSS,
8000,32768,245;406;407;457;469;478;515;532;533;535;555,Hardware test failure,I_EVENT_HW_TEST_FAILURE,